image_id,labels_message
cknfx4a4w006b3h6fd78ja1jt,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 1727, ""left"": 1375, ""height"": 964, ""width"": 493}, ""chart-number"": {""top"": 227, ""left"": 118, ""height"": 1479, ""width"": 639}, ""chart-title"": {""top"": 227, ""left"": 812, ""height"": 1484, ""width"": 195}, ""subtitle"": {""top"": 1727, ""left"": 1131, ""height"": 959, ""width"": 195}, ""text"": {""top"": 227, ""left"": 1240, ""height"": 639, ""width"": 612}}"
cknfx6yu5006r3h6ft8y7ulz3,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 1056, ""left"": 108, ""height"": 460, ""width"": 980}, ""subtitle"": {""top"": 260, ""left"": 108, ""height"": 135, ""width"": 844}, ""chart-title"": {""top"": 449, ""left"": 108, ""height"": 114, ""width"": 844}, ""chart-number"": {""top"": 600, ""left"": 107, ""height"": 396, ""width"": 1311}, ""text"": {""top"": 260, ""left"": 1066, ""height"": 298, ""width"": 341}}"
cknfyw20f000h3h6fnyb0l07s,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 228, ""left"": 145, ""height"": 405, ""width"": 867}, ""subtitle"": {""top"": 3116, ""left"": 1412, ""height"": 165, ""width"": 873}, ""chart-title"": {""top"": 804, ""left"": 145, ""height"": 177, ""width"": 2133}, ""chart-number"": {""top"": 1076, ""left"": 145, ""height"": 627, ""width"": 2127}, ""text"": {""top"": 1836, ""left"": 138, ""height"": 501, ""width"": 874}}"
cknfyxx8a00103h6fctzgugo9,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 931, ""left"": 214, ""height"": 418, ""width"": 855}, ""subtitle"": {""top"": 380, ""left"": 208, ""height"": 209, ""width"": 456}, ""chart-title"": {""top"": 2337, ""left"": 1075, ""height"": 183, ""width"": 1248}, ""chart-number"": {""top"": 2615, ""left"": 1069, ""height"": 488, ""width"": 1241}, ""text_1"": {""top"": 1475, ""left"": 214, ""height"": 444, ""width"": 868}, ""text_2"": {""top"": 1982, ""left"": 208, ""height"": 165, ""width"": 867}}"
cknfyzfc1001g3h6f91hyu3d6,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 234, ""left"": 797, ""height"": 539, ""width"": 1488}, ""subtitle"": {""top"": 234, ""left"": 164, ""height"": 545, ""width"": 512}, ""chart-title"": {""top"": 1792, ""left"": 157, ""height"": 184, ""width"": 2115}, ""chart-number"": {""top"": 943, ""left"": 157, ""height"": 798, ""width"": 2115}, ""text"": {""top"": 2052, ""left"": 157, ""height"": 424, ""width"": 507}}"
cknfz0lhy001w3h6fhdi6icy7,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 1425, ""left"": 1183, ""height"": 538, ""width"": 1083}, ""subtitle"": {""top"": 1184, ""left"": 1158, ""height"": 165, ""width"": 1108}, ""chart-title"": {""top"": 317, ""left"": 246, ""height"": 177, ""width"": 912}, ""chart-number"": {""top"": 570, ""left"": 246, ""height"": 500, ""width"": 2032}, ""text"": {""top"": 3115, ""left"": 784, ""height"": 197, ""width"": 1469}}"
cknfz1h0u002c3h6fci3zi26b,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 1076, ""left"": 164, ""height"": 437, ""width"": 734}, ""chart-number"": {""top"": 1083, ""left"": 974, ""height"": 437, ""width"": 1317}, ""subtitle"": {""top"": 893, ""left"": 151, ""height"": 145, ""width"": 760}, ""chart-title"": {""top"": 1558, ""left"": 980, ""height"": 234, ""width"": 1305}, ""text"": {""top"": 1982, ""left"": 164, ""height"": 551, ""width"": 734}}"
cknfz2mxt002s3h6fnu57wes7,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 215, ""left"": 752, ""height"": 532, ""width"": 1507}, ""subtitle"": {""top"": 830, ""left"": 1253, ""height"": 189, ""width"": 1000}, ""chart-title"": {""top"": 1108, ""left"": 1252, ""height"": 190, ""width"": 1007}, ""chart-number"": {""top"": 1412, ""left"": 740, ""height"": 513, ""width"": 1532}, ""text"": {""top"": 2489, ""left"": 69, ""height"": 538, ""width"": 639}}"
cknfz3vrv00383h6fwhzhevi3,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 343, ""left"": 126, ""height"": 316, ""width"": 930}, ""subtitle"": {""top"": 690, ""left"": 132, ""height"": 159, ""width"": 924}, ""chart-title"": {""top"": 1089, ""left"": 132, ""height"": 190, ""width"": 1406}, ""chart-number"": {""top"": 1330, ""left"": 132, ""height"": 734, ""width"": 1412}, ""text"": {""top"": 1108, ""left"": 1683, ""height"": 963, ""width"": 621}}"
cknfz4o4x003o3h6fiw0seg7z,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 899, ""left"": 214, ""height"": 393, ""width"": 830}, ""subtitle"": {""top"": 627, ""left"": 208, ""height"": 203, ""width"": 848}, ""chart-title"": {""top"": 1374, ""left"": 221, ""height"": 158, ""width"": 816}, ""chart-number"": {""top"": 1602, ""left"": 208, ""height"": 348, ""width"": 836}, ""text"": {""top"": 912, ""left"": 1177, ""height"": 380, ""width"": 633}}"
cknfz5m0t00443h6f986frejs,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 899, ""left"": 993, ""height"": 545, ""width"": 1146}, ""chart-number"": {""top"": 2039, ""left"": 240, ""height"": 722, ""width"": 1886}, ""subtitle"": {""top"": 393, ""left"": 227, ""height"": 221, ""width"": 760}, ""chart-title"": {""top"": 1817, ""left"": 227, ""height"": 146, ""width"": 1912}, ""text"": {""top"": 893, ""left"": 233, ""height"": 544, ""width"": 627}}"
cknfz77mh004k3h6fxpm2kuzz,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3508, ""width"": 2366}, ""headline"": {""top"": 868, ""left"": 176, ""height"": 1735, ""width"": 450}, ""subtitle"": {""top"": 874, ""left"": 714, ""height"": 1729, ""width"": 152}, ""chart-title"": {""top"": 874, ""left"": 968, ""height"": 1203, ""width"": 171}, ""chart-number"": {""top"": 880, ""left"": 1202, ""height"": 659, ""width"": 956}, ""text"": {""top"": 1602, ""left"": 1202, ""height"": 481, ""width"": 962}}"
cko1cf6fx000i3h6fyjkmfuti,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 128, ""left"": 123, ""height"": 139, ""width"": 354}, ""subtitle"": {""top"": 276, ""left"": 122, ""height"": 54, ""width"": 355}, ""chart-title"": {""top"": 346, ""left"": 147, ""height"": 46, ""width"": 305}, ""chart-number"": {""top"": 419, ""left"": 112, ""height"": 134, ""width"": 368}, ""text_1"": {""top"": 575, ""left"": 109, ""height"": 147, ""width"": 149}, ""text_2"": {""top"": 752, ""left"": 108, ""height"": 52, ""width"": 153}}"
cko1cijai00143h6f4voazleg,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 94, ""left"": 54, ""height"": 102, ""width"": 251}, ""subtitle"": {""top"": 50, ""left"": 79, ""height"": 35, ""width"": 202}, ""chart-title_1"": {""top"": 305, ""left"": 76, ""height"": 25, ""width"": 206}, ""chart-title_2"": {""top"": 203, ""left"": 77, ""height"": 25, ""width"": 205}, ""chart-number_1"": {""top"": 338, ""left"": 51, ""height"": 68, ""width"": 251}, ""chart-number_2"": {""top"": 234, ""left"": 53, ""height"": 66, ""width"": 252}, ""text"": {""top"": 414, ""left"": 77, ""height"": 30, ""width"": 206}}"
cko1cjrsi001n3h6f3afifqyq,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 73, ""left"": 70, ""height"": 84, ""width"": 215}, ""subtitle"": {""top"": 164, ""left"": 69, ""height"": 32, ""width"": 214}, ""chart-title"": {""top"": 204, ""left"": 69, ""height"": 28, ""width"": 214}, ""chart-number"": {""top"": 240, ""left"": 70, ""height"": 104, ""width"": 214}, ""text_1"": {""top"": 354, ""left"": 70, ""height"": 28, ""width"": 213}, ""text_2"": {""top"": 390, ""left"": 100, ""height"": 28, ""width"": 151}}"
cko1cl0id00283h6fdhclg2x3,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 178, ""left"": 53, ""height"": 89, ""width"": 261}, ""subtitle"": {""top"": 136, ""left"": 50, ""height"": 29, ""width"": 266}, ""text_1"": {""top"": 83, ""left"": 74, ""height"": 44, ""width"": 221}, ""text_2"": {""top"": 399, ""left"": 55, ""height"": 60, ""width"": 158}, ""chart-title"": {""top"": 271, ""left"": 53, ""height"": 30, ""width"": 260}, ""chart-number"": {""top"": 313, ""left"": 54, ""height"": 80, ""width"": 257}}"
cko1cnf7j002z3h6fbq1kcm70,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 105, ""left"": 59, ""height"": 77, ""width"": 240}, ""subtitle"": {""top"": 45, ""left"": 84, ""height"": 46, ""width"": 192}, ""chart-title_1"": {""top"": 272, ""left"": 58, ""height"": 27, ""width"": 243}, ""chart-title_2"": {""top"": 188, ""left"": 59, ""height"": 22, ""width"": 240}, ""chart-number_1"": {""top"": 217, ""left"": 58, ""height"": 49, ""width"": 242}, ""chart-number_2"": {""top"": 306, ""left"": 56, ""height"": 30, ""width"": 246}, ""text_1"": {""top"": 345, ""left"": 118, ""height"": 56, ""width"": 127}, ""text_2"": {""top"": 413, ""left"": 116, ""height"": 42, ""width"": 129}}"
cko1coh53003q3h6fhjf4ff9z,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 148, ""left"": 52, ""height"": 519, ""width"": 182}, ""subtitle"": {""top"": 98, ""left"": 48, ""height"": 38, ""width"": 184}, ""chart-title_1"": {""top"": 336, ""left"": 251, ""height"": 41, ""width"": 299}, ""chart-title_2"": {""top"": 155, ""left"": 253, ""height"": 41, ""width"": 297}, ""chart-number_1"": {""top"": 407, ""left"": 250, ""height"": 87, ""width"": 301}, ""chart-number_2"": {""top"": 216, ""left"": 253, ""height"": 84, ""width"": 298}, ""text_1"": {""top"": 681, ""left"": 51, ""height"": 123, ""width"": 184}, ""text_2"": {""top"": 101, ""left"": 253, ""height"": 41, ""width"": 300}}"
cko1cpgma00493h6ft22ptj92,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 131, ""left"": 66, ""height"": 138, ""width"": 370}, ""subtitle"": {""top"": 93, ""left"": 66, ""height"": 29, ""width"": 368}, ""chart-title"": {""top"": 286, ""left"": 63, ""height"": 57, ""width"": 373}, ""chart-number"": {""top"": 359, ""left"": 60, ""height"": 112, ""width"": 376}, ""text_1"": {""top"": 490, ""left"": 55, ""height"": 64, ""width"": 379}, ""text_2"": {""top"": 578, ""left"": 52, ""height"": 111, ""width"": 218}}"
cko1cqk1b004x3h6fv15gp4dz,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 122, ""left"": 365, ""height"": 421, ""width"": 194}, ""subtitle"": {""top"": 123, ""left"": 49, ""height"": 71, ""width"": 297}, ""chart-title_1"": {""top"": 409, ""left"": 46, ""height"": 52, ""width"": 305}, ""chart-title_2"": {""top"": 210, ""left"": 49, ""height"": 51, ""width"": 297}, ""chart-number_1"": {""top"": 284, ""left"": 49, ""height"": 103, ""width"": 302}, ""chart-number_2"": {""top"": 483, ""left"": 43, ""height"": 60, ""width"": 309}, ""text"": {""top"": 641, ""left"": 40, ""height"": 93, ""width"": 200}}"
cko1crpay005g3h6fvcyyfd9d,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 111, ""left"": 146, ""height"": 139, ""width"": 292}, ""subtitle"": {""top"": 264, ""left"": 122, ""height"": 39, ""width"": 347}, ""chart-title"": {""top"": 324, ""left"": 119, ""height"": 36, ""width"": 352}, ""chart-number"": {""top"": 377, ""left"": 119, ""height"": 79, ""width"": 352}, ""text_1"": {""top"": 586, ""left"": 115, ""height"": 139, ""width"": 150}, ""text_2"": {""top"": 507, ""left"": 115, ""height"": 46, ""width"": 364}}"
cko1csfnc005z3h6f4k9skc14,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 169, ""left"": 95, ""height"": 144, ""width"": 409}, ""subtitle"": {""top"": 118, ""left"": 95, ""height"": 37, ""width"": 407}, ""chart-title"": {""top"": 330, ""left"": 93, ""height"": 43, ""width"": 409}, ""chart-number"": {""top"": 395, ""left"": 96, ""height"": 95, ""width"": 406}, ""text_1"": {""top"": 649, ""left"": 87, ""height"": 108, ""width"": 204}, ""text_2"": {""top"": 528, ""left"": 93, ""height"": 99, ""width"": 196}}"
cko1ctmt7006i3h6f5blygmog,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 141, ""left"": 42, ""height"": 75, ""width"": 275}, ""subtitle"": {""top"": 45, ""left"": 87, ""height"": 33, ""width"": 188}, ""text_1"": {""top"": 374, ""left"": 66, ""height"": 57, ""width"": 234}, ""text_2"": {""top"": 99, ""left"": 55, ""height"": 30, ""width"": 256}, ""chart-title"": {""top"": 225, ""left"": 67, ""height"": 27, ""width"": 236}, ""chart-number"": {""top"": 264, ""left"": 67, ""height"": 92, ""width"": 238}}"
cko1cv9nc00733h6fhrvgnid2,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 121, ""left"": 56, ""height"": 200, ""width"": 250}, ""subtitle"": {""top"": 86, ""left"": 57, ""height"": 22, ""width"": 244}, ""text_1"": {""top"": 60, ""left"": 83, ""height"": 16, ""width"": 199}, ""text_2"": {""top"": 451, ""left"": 103, ""height"": 21, ""width"": 147}, ""chart-title"": {""top"": 329, ""left"": 106, ""height"": 23, ""width"": 146}, ""chart-number"": {""top"": 362, ""left"": 102, ""height"": 42, ""width"": 149}}"
cko1cwy4p007s3h6fafulofes,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 105, ""left"": 59, ""height"": 83, ""width"": 244}, ""subtitle"": {""top"": 72, ""left"": 77, ""height"": 24, ""width"": 209}, ""chart-title_1"": {""top"": 222, ""left"": 59, ""height"": 25, ""width"": 110}, ""chart-title_2"": {""top"": 222, ""left"": 196, ""height"": 22, ""width"": 106}, ""chart-number_1"": {""top"": 267, ""left"": 59, ""height"": 108, ""width"": 109}, ""chart-number_2"": {""top"": 267, ""left"": 196, ""height"": 107, ""width"": 107}, ""text_1"": {""top"": 396, ""left"": 59, ""height"": 26, ""width"": 239}, ""text_2"": {""top"": 444, ""left"": 118, ""height"": 16, ""width"": 127}}"
cko1cye93008b3h6fiswwr5xh,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 45, ""left"": 85, ""height"": 35, ""width"": 193}, ""subtitle"": {""top"": 91, ""left"": 70, ""height"": 25, ""width"": 215}, ""text_1"": {""top"": 355, ""left"": 84, ""height"": 31, ""width"": 193}, ""text_2"": {""top"": 324, ""left"": 43, ""height"": 21, ""width"": 273}, ""chart-title"": {""top"": 160, ""left"": 41, ""height"": 37, ""width"": 273}, ""chart-number"": {""top"": 206, ""left"": 41, ""height"": 83, ""width"": 274}}"
cko1d0wap00913h6fnpbsrn5o,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 122, ""left"": 96, ""height"": 76, ""width"": 159}, ""text_1"": {""top"": 122, ""left"": 262, ""height"": 75, ""width"": 65}, ""text_2"": {""top"": 399, ""left"": 87, ""height"": 26, ""width"": 176}, ""text_3"": {""top"": 123, ""left"": 30, ""height"": 76, ""width"": 57}, ""text_4"": {""top"": 93, ""left"": 97, ""height"": 13, ""width"": 156}, ""chart-title"": {""top"": 214, ""left"": 86, ""height"": 27, ""width"": 172}, ""chart-number"": {""top"": 256, ""left"": 74, ""height"": 97, ""width"": 203}}"
cko1d2w77009q3h6f9gt06hkp,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 150, ""left"": 52, ""height"": 580, ""width"": 149}, ""text_1"": {""top"": 95, ""left"": 49, ""height"": 38, ""width"": 488}, ""text_2"": {""top"": 742, ""left"": 54, ""height"": 73, ""width"": 147}, ""subtitle"": {""top"": 151, ""left"": 224, ""height"": 46, ""width"": 316}, ""chart-title_1"": {""top"": 406, ""left"": 218, ""height"": 41, ""width"": 327}, ""chart-title_2"": {""top"": 215, ""left"": 226, ""height"": 42, ""width"": 317}, ""chart-number_1"": {""top"": 272, ""left"": 223, ""height"": 117, ""width"": 320}, ""chart-number_2"": {""top"": 458, ""left"": 215, ""height"": 94, ""width"": 326}}"
cko1d402400ac3h6ftq4dgofr,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 125, ""left"": 114, ""height"": 123, ""width"": 365}, ""subtitle"": {""top"": 262, ""left"": 114, ""height"": 43, ""width"": 365}, ""chart-title"": {""top"": 332, ""left"": 221, ""height"": 34, ""width"": 160}, ""chart-number"": {""top"": 383, ""left"": 113, ""height"": 109, ""width"": 371}, ""text_1"": {""top"": 633, ""left"": 111, ""height"": 139, ""width"": 117}, ""text_2"": {""top"": 516, ""left"": 220, ""height"": 45, ""width"": 172}}"
cko1d5kci00av3h6fxgh6801f,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 180, ""left"": 138, ""height"": 120, ""width"": 323}, ""chart-title"": {""top"": 322, ""left"": 136, ""height"": 51, ""width"": 324}, ""chart-number"": {""top"": 396, ""left"": 81, ""height"": 171, ""width"": 461}, ""subtitle"": {""top"": 123, ""left"": 134, ""height"": 40, ""width"": 323}, ""text_1"": {""top"": 689, ""left"": 76, ""height"": 75, ""width"": 191}, ""text_2"": {""top"": 589, ""left"": 79, ""height"": 73, ""width"": 193}}"
cko1d6pbo00be3h6fdob83tiq,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 120, ""left"": 202, ""height"": 416, ""width"": 196}, ""subtitle"": {""top"": 71, ""left"": 199, ""height"": 36, ""width"": 202}, ""text_1"": {""top"": 122, ""left"": 112, ""height"": 413, ""width"": 62}, ""text_2"": {""top"": 122, ""left"": 425, ""height"": 413, ""width"": 54}, ""chart-title"": {""top"": 551, ""left"": 202, ""height"": 38, ""width"": 195}, ""chart-number"": {""top"": 608, ""left"": 112, ""height"": 115, ""width"": 373}}"
cko1d7ocd00c33h6f3x4akvfm,"{""background"": {""top"": 0, ""left"": 0, ""height"": 875, ""width"": 591}, ""headline"": {""top"": 122, ""left"": 57, ""height"": 120, ""width"": 295}, ""subtitle"": {""top"": 259, ""left"": 57, ""height"": 47, ""width"": 294}, ""chart-title_1"": {""top"": 441, ""left"": 55, ""height"": 30, ""width"": 297}, ""chart-title_2"": {""top"": 322, ""left"": 57, ""height"": 29, ""width"": 294}, ""chart-number_1"": {""top"": 493, ""left"": 51, ""height"": 65, ""width"": 300}, ""chart-number_2"": {""top"": 368, ""left"": 57, ""height"": 52, ""width"": 295}, ""text_1"": {""top"": 676, ""left"": 52, ""height"": 58, ""width"": 174}, ""text_2"": {""top"": 757, ""left"": 49, ""height"": 56, ""width"": 175}}"
cko1d8ny500cm3h6fup6uqwel,"{""background"": {""top"": 0, ""left"": 0, ""height"": 525, ""width"": 354}, ""headline"": {""top"": 78, ""left"": 115, ""height"": 200, ""width"": 113}, ""subtitle"": {""top"": 78, ""left"": 242, ""height"": 200, ""width"": 34}, ""text_1"": {""top"": 80, ""left"": 66, ""height"": 201, ""width"": 37}, ""text_2"": {""top"": 394, ""left"": 66, ""height"": 32, ""width"": 209}, ""chart-title"": {""top"": 290, ""left"": 65, ""height"": 27, ""width"": 212}, ""chart-number"": {""top"": 330, ""left"": 65, ""height"": 54, ""width"": 212}}"
